addressid,ownerid,province,district,neighborhood,addressaddedtime
a45e96e6-e3bc-47b4-b03b-85d69ea91220,60c22131-a2a0-4beb-b07f-78f9b030cfa7,İstanbul,Tuzla,Aydınl,2025-07-14 22:35:36.593
f6318c18-2e6c-4bb6-bf45-d7f029f21cc5,69c60c6b-e5aa-4470-b8a4-93f3a188816c,İstanbul,Ataşehir,Mevlana,2025-05-08 01:40:43.616
ab9ecbdf-a244-420b-b76b-15c0ecbe62ee,8a746ccd-029a-4d87-818b-bc3922ebbeb7,İstanbul,Maltepe,Feyzullah,2025-07-18 01:09:21.523
569f84a6-8841-48c3-9a42-6e4808420b60,1a63303f-1b09-4bdc-9a4c-b8f8a577a88e,Samsun,Atakum,Yenimahalle,2025-07-29 17:17:01.071
b7e52f0e-0234-4054-9020-92cf8ac7a808,c9e228f9-56e2-49ae-8d69-626f62f30b1c,İstanbul,Sarıyer,Zekeriyaköy,2025-06-23 18:48:35.228
f08ac631-1644-46d5-b4e4-9bb4fda8e7b9,508dae7e-9ba3-448f-8e7e-deb099d277c9,İstanbul,Kadıköy,Bostancı,2025-05-31 19:09:11.944
f5be7ade-560e-469f-8690-4d04cfab5095,52afcde8-7ddf-421c-b3f5-83975548f563,İstanbul,Kadıköy,Erenköy,2025-07-08 15:48:00.988
a4c2fb90-cbfa-4f22-a554-72bd5f2fc106,07848d4a-2f42-4a9c-9c85-a7e4848390a2,İstanbul,Eyüp,Sakarya,2025-06-23 15:06:32.609
f6627e13-866a-4740-8e28-b5a3c357f1c1,7c7060ce-89c8-46ce-a55b-aaaa159594d7,İstanbul,Beşiktaş,Dikilitaş,2025-05-30 20:47:54.889
8cbbd29e-6fbe-4440-bd6e-a515b480dd9e,3bfaae85-8dff-4dd0-b482-38e2d1138547,İstanbul,Kadıköy,Fikirtepe,2025-07-12 08:06:43.888
8af5a949-63b7-49aa-a306-6f1afe692200,13ab5b70-af66-4bb5-b232-f53ce751703d,Ankara,Polatlı,Fatih,2025-05-22 14:20:20.613
092d46b5-a745-4093-98f6-1f6a548b1fc5,6fa64316-12f5-4ffd-ada7-e590ce21f476,İstanbul,Sancaktepe,Abdurrahmangazi,2025-06-22 18:35:33.068
68340cbf-aca5-476e-ba5f-cf5f20782d25,21231ff2-baf2-4cd8-b14e-82c88223e13d,İstanbul,Beylikdüzü,Yakuplu,2025-06-08 08:45:09.226
fcf9dde6-45b9-4d61-95f6-bb3ee46e1369,f8ff1048-552c-4ef6-8c1f-57070993c50a,Ankara,Çankaya,Büyükesat,2025-05-15 20:15:41.228
ef3e18a4-b8ed-46a8-8a9b-73e76d55b84d,1d2e569f-8377-42a1-b953-946340c0bccd,İstanbul,Maltepe,Feyzullah,2025-05-07 21:58:41.475
8882279e-e015-40ea-8106-8095f43286fc,dc0a7cb7-b81d-4c97-b7a5-e3fccdc6e547,İstanbul,Pendik,Kaynarca,2025-05-10 13:12:14.957
0c02e6f0-0b2e-40a4-832a-394654c4770f,41943372-a6e3-4b94-9498-2a4ac805e0a5,Eskişehir,Tepebaşı,Üniversite,2025-07-06 12:28:57.360
b0edffb5-74bc-47e1-87e6-e71ba6e384a6,537f15e8-97ad-4ca8-9bdc-08624ac047ee,İstanbul,Şişli,Feriköy,2025-07-01 14:36:09.556
95898c52-ec3f-4733-ba0e-d44af5924aea,30d8d8d7-c00e-4e60-90c3-e91c6fc0ca4a,İstanbul,Kadıköy,Kozyatağı,2025-07-08 19:35:45.464
6270a75f-6983-4cc4-b6e3-297ecc09d3df,4f259103-6dbb-4ae7-a729-dc2f7d6a9981,İstanbul,Ataşehir,Ataşehir Atatürk,2025-05-20 18:31:55.257
673e34b1-5996-4974-a4ed-b4e48959cf08,6bd9f38c-47be-47ac-a279-dc6625d47094,İstanbul,Avcılar,Üniversite,2025-05-26 12:13:19.633
d0e5647f-ba82-4e79-be0c-bd6b4a21d7e9,16259419-2990-4ff0-ab0d-d0f6df7f4979,İstanbul,Başakşehir,Bahçeşehir 2. Kısım,2025-07-18 00:57:37.672
ac435ffe-e4d7-4491-b8f9-ce1d03378a36,b7b38c4f-80f4-42c7-be3f-2e092e24e2e2,İstanbul,Kadıköy,Eğitim,2025-06-03 13:18:20.591
688c7783-09da-4d6b-8e1f-5e3bdd590d42,c709cd5a-d1c8-4d1c-abb8-450a3e39732f,Antalya,Muratpaşa,Muratpaşa,2025-07-10 05:11:11.975
632791dc-861e-4fb6-ab26-a2ad4a753da7,41bb8dc4-a35b-4a79-bdb7-3a81e339e459,İstanbul,Beşiktaş,Cıhannuma,2025-05-29 11:44:52.976
86a6f2d6-0a2e-4122-95b1-7df8cb02fd6a,da6fa4b8-684a-4c39-8fff-068cd0b6ff7a,İstanbul,Beylikdüzü,Adnan Kahveci,2025-07-19 18:23:17.634
c05845ce-6bbc-47f4-8d9c-8714179d5844,c1751803-9548-451b-b4fd-91378be10d78,İstanbul,Bağcılar,Merkez,2025-05-21 15:47:19.749
46df4c7a-ff3f-4092-856e-6decf649a19e,32efa3ec-b7cf-4738-a2de-b6c02f0590fb,İstanbul,Avcılar,Merkez,2025-07-01 18:36:10.120
c6507e66-0af3-4f2b-8924-0202ce901e7d,cc8e9f21-4e80-41d7-8588-e62a0f1d5cc3,Yalova,Merkez,Merkez,2025-08-03 12:53:18.755
46407293-b31f-415b-8d3b-f6c9bc954240,f00e669c-fbf5-4e84-a051-428e3a6f75e3,İstanbul,Kartal,Atalar,2025-05-20 23:14:47.135
5d28c78e-2200-46fa-86b8-c4a944059f7a,379ed93d-0d73-4384-b469-629e5faf4c41,Ankara,Akyurt,Büğdüz,2025-05-25 08:57:45.460
085a72ad-df3d-4a8b-a9e3-d6ed353670e3,3af2288a-a327-4c1f-8ef6-b263bb02d607,İstanbul,Maltepe,Fındıklı,2025-07-14 17:21:36.500
c2fa58a9-87f7-4a9f-9d9b-0115374562f9,0ef6cb0a-c93b-461a-b6b0-5eccc10d8a66,İstanbul,Eyüp,Emniyettepe,2025-05-31 00:49:43.301
e14a4856-91db-46d8-b321-13ed9d816a78,beffca7e-2943-4c40-910a-4fa616c30cb9,İstanbul,Bakırköy,Yeşilköy,2025-06-23 11:08:52.650
efcaf790-77f2-42fd-9c88-89062d9ef738,3aa7d009-cb91-4f6b-91b5-f8182051f58e,İstanbul,Kadıköy,Fikirtepe,2025-06-27 21:33:07.119
cf653267-66db-44f3-aaac-fc4d58df264f,1ee535b6-c5fd-4662-b1c0-43af656a8b7a,İstanbul,Kartal,Esentepe,2025-05-30 14:21:22.167
a2062622-b7ca-4a8a-bfe1-90531348ca44,707638d5-8499-4aa1-a0d3-458e6108cd5d,İstanbul,Beşiktaş,Akat,2025-06-18 20:20:04.317
c8129e47-6113-4997-bfae-c2dfff3a2e18,92c3043b-6d50-4543-84cd-de016dcdc3c1,İstanbul,Zeytinburnu,Sümer,2025-06-03 17:21:25.019
0f2c36d3-3177-4be2-b68f-7bf18086c220,3fd35496-7e32-4eab-93b6-6e2e731dfe95,İstanbul,Bakırköy,Yeşilköy,2025-06-30 17:12:22.486
3d33369a-98aa-42a9-9b40-2d1bbca02081,61212792-ea93-4c5e-8bcd-51e7167f3d79,İstanbul,Bağcılar,Göztepe,2025-05-27 15:08:50.741
c2405f4d-c6f1-4353-b5c1-5f98f60a5608,454e8cd9-b94a-44d8-8269-48fdb46fddcb,İzmir,Konak,Turgut Reis,2025-06-10 16:33:48.322
b6b4e0d7-664d-4f5c-9621-bfdb5530c6c8,7d9d9d33-209a-456c-9a69-5cd60e018196,Adana,Seyhan,Gürselpaşa,2025-07-27 22:36:22.449
758b96ce-79bc-436a-a3c0-c2d9fa30db55,e5d6cb31-1d71-434c-9776-52fc1b20d925,İstanbul,Maltepe,Çınar,2025-05-27 00:39:25.877
169a0722-3671-47cd-b5af-298ba0e12b00,8dcb015d-d9e6-4f5d-9f24-7a5c1f88a021,İstanbul,Kartal,Orhantepe,2025-05-29 20:30:48.000
5417d786-7ece-45bd-83bd-4cdddfcba1cc,5a1bac90-7e93-43a3-bd3e-c0bdee8840ab,İstanbul,Üsküdar,Zeynep Kamil,2025-05-26 17:12:23.733
8d4c5317-f438-4df2-b1c7-6ebb1719abf8,867e7028-fbd5-4865-9a33-895bebe0f385,İstanbul,Bahçelievler,Siyavuşpaşa,2025-07-02 21:10:58.874
b59987b7-3ae1-4648-a0f2-a579b5191a78,c990583c-34bf-45ab-90cc-2fb6a848b340,İstanbul,Kadıköy,Merdivenköy,2025-06-27 20:57:03.440
acd32123-6e44-4e19-9a3a-839836ca64ef,990660a3-267a-4988-8524-ff10378e92cd,İstanbul,Arnavutköy,Anadolu,2025-07-04 21:50:32.998
07939c83-a627-4470-ab1f-8b9d780e5319,24525c01-99cc-4822-a8fa-8057c527cf92,Ankara,Çankaya,Yaşamkent,2025-06-23 10:59:22.237
3fbda901-49b0-47dd-a3ba-d8c30d1bf381,effa883c-a508-4ceb-9de7-f55d49f320ed,İstanbul,Pendik,Doğu,2025-06-19 12:36:13.184
b6ae4bba-f398-4c66-9f98-10c71f83a3f7,dab7fe47-c089-4fcd-a412-09d4f8e53e37,İstanbul,Kadıköy,Suadiye,2025-06-29 15:23:33.951
657514b7-a03d-43f9-a931-b03596fb5656,e3d64345-5dcc-4a77-b35e-f9a40aceb9d8,İstanbul,Kağıthane,Emniyetevleri,2025-06-11 09:11:22.401
86ef061c-234f-443a-ac6b-f0bc99b91392,ca122203-8a32-4577-8ea9-38f7aab2346e,Ankara,Keçiören,Aşağı Eğlence,2025-06-17 00:25:26.367
629e9fe7-d977-4be0-8ef2-3696ec8762b1,813bfc1c-7346-4c31-a162-ebd70bf0db47,İstanbul,Kadıköy,Fenerbahçe,2025-07-12 07:52:40.113
23cd41d5-cc2a-4039-bfd3-3535d2134ff0,07848d4a-2f42-4a9c-9c85-a7e4848390a2,İstanbul,Eyüp,Sakarya,2025-06-25 21:08:14.455
f3ba18a2-402d-497e-8e02-5d666ab2aff7,bb35f177-d823-40b7-aea7-24975056458e,İstanbul,Sarıyer,Zekeriyaköy,2025-06-02 10:04:50.098
9378e4f3-8fc7-45d7-85da-37a16fa8d846,f6bf504e-45ad-4412-83c4-c746996c6d41,İstanbul,Ataşehir,Ataşehir Atatürk,2025-07-01 21:26:14.939
016210a2-7e64-436a-be3a-f1850208dd51,9c93d948-e0ff-4733-b3fe-54360bfdd82a,İstanbul,Beykoz,Acarlar,2025-05-21 08:19:28.140
4c005d77-c846-4bfd-a43b-b0849ac8303e,6eb835c5-cc64-4437-9575-01d1e03d84d5,İstanbul,Kadıköy,Kozyatağı,2025-07-05 19:40:44.459
99ed37b2-b0a1-42d1-874b-1df4994ae0af,be3d0512-ad2c-4eb8-b17a-80536d9a4328,Ankara,Etimesgut,Eryaman,2025-08-03 09:40:18.068
d38dc366-8322-4ab6-aadf-c489473f8b4a,470c1aba-4182-4498-aca9-cdfa569c0fd9,İstanbul,Kadıköy,Eğitim,2025-07-22 20:20:44.189
8bfedc39-4b50-40a1-ac0d-484f04745aff,b836d36b-bb03-4d0a-bff9-cb7785f0073f,İstanbul,Sarıyer,Çamlıtepe,2025-07-09 02:55:12.551
40791285-8420-4e28-95b3-446d5cf3a42a,7dd23050-4641-4049-a86b-3467c07616d7,İstanbul,Beşiktaş,Nisbetiye,2025-07-19 18:40:24.673
a78fa9a3-67d5-452f-80c8-04077383a169,a51fa0ef-61f3-40ed-9901-68912591ade5,İzmir,Karabağlar,Basın Sitesi,2025-07-13 00:45:47.417
f5154b5e-72e2-4fb1-abf7-0f8974358de7,924c35f5-3910-4209-9733-fa028942227e,İstanbul,Küçükçekmece,Atakent,2025-07-15 14:27:20.284
fbbf0ef1-da7a-4a88-9417-17cfedbb8234,12736421-6ed9-40df-9ad7-955adc9467a1,Antalya,Muratpaşa,Muratpaşa,2025-08-03 11:00:00.608
16be5ade-a8dd-4cac-8940-c366ec951e1a,3511d91d-5540-4f74-882c-b844270e148a,İstanbul,Sultanbeyli,Battalgazi,2025-07-10 07:27:49.392
983562a1-3e51-47b4-9210-90712c9a48c9,ec240aee-d70f-4dc5-852e-d87476ab61f9,İstanbul,Ataşehir,Esatpasa,2025-06-04 12:50:13.641
91718c5c-004a-4071-b61e-7792c84f32f2,748b74fb-ead5-450b-9b67-8716e478852e,İstanbul,Ataşehir,İçerenköy,2025-07-21 20:10:28.132
5b280545-3c74-49e7-85af-7247aca6a920,03073d62-05c5-4b9a-a313-40495d98203e,İstanbul,Bayrampaşa,Terazidere,2025-05-08 16:22:36.679
b4b60048-6b15-45c5-b2b5-9ea711b2e319,3864e5de-89a5-42d7-9e6f-89b7bda9096a,İzmir,Konak,Mimar Sinan,2025-05-11 13:19:57.941
4c9a0dbd-8c0c-41ab-986e-bc91d2124cde,dc36378a-f0c1-46be-9e67-4f6e194d1ac7,İstanbul,Bağcılar,Güneşli,2025-07-03 03:38:34.645
0fcc663b-d3d5-4c8e-912d-05edea59d10f,9c6580ff-0a36-48d5-b9c0-315760b3f5d8,İstanbul,Bakırköy,Yenimahalle,2025-07-09 17:40:45.182
4306f94c-f9c5-4918-9fd9-05e3cb02a3e4,a063af48-ba30-4b77-96cd-d30f0e77030d,İstanbul,Şişli,19.Mayıs,2025-06-28 14:27:20.199
caa7ca86-bc49-46ea-8727-363b3fae204b,3a7221d8-2f56-4570-9525-da355f256cd5,Ankara,Çankaya,100. Yıl,2025-06-16 17:31:06.060
0bdcb213-dbe6-488d-93f5-6c8ecb1d04e0,c8b3d353-0a52-4b8a-a992-4783f66ef5c6,Adana,Çukurova,Çukurova,2025-07-09 20:32:03.853
d28276cf-7c6f-490b-861f-1912766774ac,13da65f8-ca7b-401c-9723-1032dc751545,İstanbul,Beykoz,Riva,2025-05-23 07:45:01.155
e414f257-6e2d-4633-81c5-2c4ea8577cc3,85a76116-0f96-4946-b17b-b0171aa8cd72,İstanbul,Ataşehir,Barbaros,2025-05-08 09:07:22.534
7d4bc3c8-7d9e-4a9e-8280-83b263e8f5ad,209784b1-915e-4883-b229-5b11f79c34a3,İstanbul,Eyüp,Akşemsettin,2025-06-20 18:43:39.244
0b2b0584-0e46-453f-8c1a-30a6194b8874,f18837d1-e201-464b-a549-021acf1e0f74,İstanbul,Kadıköy,Caddebostan,2025-07-30 13:17:00.076
569a186a-cf23-408f-ae52-20456343ddb4,c65bfe09-9539-437f-8d0b-eeb501cf386f,İstanbul,Ataşehir,İçerenköy,2025-07-08 00:00:43.776
141da76d-bdd9-4c56-9118-6a4362f00529,235f016d-41dc-4031-9dd2-0e62b0e9c7ee,İstanbul,Esenyurt,Merkez,2025-06-03 11:11:46.633
0c6d4dd5-b900-4e59-89c0-bb8b2e45fec4,2784ee87-ec88-4350-9805-be4737f092cb,İstanbul,Eyüp,Göktürk Merkez,2025-07-26 21:54:09.265
d63cb6ec-7636-476a-a0ec-6bdab9eea96e,2a1ef628-abc9-4cf9-a884-b758cfa005bd,İstanbul,Çekmeköy,Aydınlar,2025-07-23 15:44:46.044
20e4aa52-4ac1-4a1f-b24f-42b4028a71d6,4f10e244-960d-4e7d-b065-9bff42637c92,İstanbul,Bakırköy,Yeşilköy,2025-06-23 09:47:09.371
e51d006e-24f0-4264-b701-4b740536eb81,ecd8f969-46e7-45c5-bb46-a6c33347ebf6,İstanbul,Ümraniye,Çakmak,2025-06-29 22:33:55.939
0edef704-8a3c-4d5c-909d-0c5e5d3322f0,871fd707-070b-4874-863d-e53c3685f38c,İstanbul,Şişli,Ergenekon,2025-06-09 01:33:04.984
4f7238a4-0371-4fbc-8288-d3038ea62a7c,fe7a36ea-deb0-412f-b835-722d49d2b6b8,İstanbul,Beyoğlu,Gümüşsuyu,2025-07-16 17:42:47.833
b9a47a0d-c794-4d2a-8e56-870ef5f518a7,a087e7be-5588-4fd0-a39d-2acc69c264b0,Ankara,Yenimahalle,Susuz,2025-06-29 13:41:45.080
2b4b00f5-48a3-4410-9eed-efbc1eafeaa3,456f3faf-7958-40e1-a8e9-ec15808ffc12,İstanbul,Kadıköy,Kozyatağı,2025-05-12 11:19:01.938
4b802328-0598-4d81-bcb1-ed0561c9be7a,757854d5-3252-42ac-bc98-5ec2c65edfaf,İstanbul,Beylikdüzü,Cumhuriyet,2025-07-28 19:38:35.358
d0ccb24e-7144-493d-b436-2455687390cb,8476bf75-f44e-4167-a468-f4805880d042,İstanbul,Başakşehir,Bahçeşehir 2. Kısım,2025-06-13 14:16:49.505
2ec04bcd-96b2-4e74-a982-bed76ccd76e0,e9a13d02-991e-4b44-ab83-6fb147b2a305,İstanbul,Maltepe,Fındıklı,2025-05-28 21:55:51.452
4067ab17-9e4a-4f6f-a086-a5f00f14eb24,bac119d3-df3b-4912-aa61-1fbcc5bfd2df,İstanbul,Maltepe,Zümrütevler,2025-05-17 02:02:03.916
7f357ad1-fd0f-43ec-beef-b6da80801435,9f4689fd-6c80-4510-a83e-10e80b885062,İstanbul,Kağıthane,Merkez,2025-06-19 18:15:52.672
354b8e51-a611-4ff7-b379-fa31ab36a623,e58f35b4-5f1c-471a-b64a-e0037bcd90a6,İstanbul,Kadıköy,Feneryolu,2025-06-03 18:04:16.218
fad114d2-4237-4481-9a20-6a1eae790ff9,db3cd83e-255b-4981-ae2d-cc832e551d7b,Ankara,Çankaya,Ümit,2025-07-24 14:05:41.413
edf0e4a5-71ca-45ec-bb46-9aca86f2d789,bbee0446-7a01-4f3f-b917-95525d2288a0,İstanbul,Avcılar,Ambarlı,2025-06-05 12:10:09.350
327cd327-a84a-4f01-8f6e-724eaea94c49,9f8c777f-8f9b-4023-a057-99b6a5310b1b,Eskişehir,Odunpazarı,Kurtuluş,2025-07-11 00:39:58.997
fd4ad8f8-d1b0-4984-883e-e817a8b60986,93e45507-689d-4080-8d72-91a67c33a2c8,İstanbul,Kağıthane,Hürriyet,2025-07-03 19:43:19.288
54c4f58c-cc73-4728-a355-63e92ebe2f84,b79ce315-9164-4835-9315-de09d6e622b9,İstanbul,Sarıyer,Yeni,2025-07-10 20:26:28.149
a3f2eb53-3330-4d12-8995-d1960038205f,b836d36b-bb03-4d0a-bff9-cb7785f0073f,İstanbul,Sarıyer,Çamlıtepe,2025-07-09 02:55:17.809
aa50c2a3-9edc-4513-af73-b49108faa188,17c7e42a-5d0f-4021-8a4e-9905ccafe044,Eskişehir,Odunpazarı,Odunpazarı,2025-07-13 22:15:07.795
fd14caeb-0af4-4d22-9754-7daa679dab3c,12ab7da2-8e85-4eaf-a8e7-58c7a5219eec,İstanbul,Kadıköy,Suadiye,2025-06-21 19:54:51.325
aaf212f3-7775-401d-bbda-84652855dedc,c43b40ff-0db9-4692-8a44-5cb2f7e932c7,İzmir,Bornova,Kazımdirik,2025-06-05 19:24:06.711
4a164334-d229-4856-a141-4893c8c764df,f83f32f8-42e9-4276-b83a-d6a824a8eecd,İstanbul,Beşiktaş,Muradiye,2025-07-05 13:55:03.733
c43cf243-06a4-4f27-aa32-9ec36ebfb0e6,725f61ca-1e59-4d23-a00c-28a54e947971,İzmir,Karşıyaka,Örnekköy,2025-07-25 11:15:32.280
65ec59d1-f512-413d-ad60-a046da64f13a,85ab5b07-de8a-493e-b9ac-79f56f6a842f,İstanbul,Pendik,Güzelyalı,2025-05-10 21:51:08.016
4b72e297-d408-474b-93e5-287d862ba499,545e5421-1636-43d0-a1cc-26b4d3a7592c,İstanbul,Zeytinburnu,Çırpıcı,2025-07-12 13:46:54.819
849e6b1e-71ac-4826-b218-4d8f613b7f43,a07bad1c-8f52-4b42-be99-0490c7261073,İstanbul,Bağcılar,Merkez,2025-05-30 23:22:05.113
01568e4c-1626-444f-bc54-fc8230e19166,b29d3bde-204e-4290-88f9-bee3fb542f35,İstanbul,Kadıköy,Fenerbahçe,2025-07-31 09:37:41.933
e1f684ad-c795-4bca-9563-2e16e24d9a06,a212db8c-c850-45a1-b499-1d9517db99e8,İstanbul,Şişli,Feriköy,2025-06-27 13:24:14.095
9817598e-d0d0-487d-97fd-46eb01793c33,922c6076-7ff5-47dd-ae13-4675de57098b,İstanbul,Kartal,Soğanlık Yeni,2025-05-17 12:13:24.069
47e0ef59-264d-402f-9c7a-d60166de906a,b03fbb00-7233-4e40-82ac-9d64a9125905,İstanbul,Esenyurt,Esenkent,2025-06-13 13:36:41.717
9040c5cf-62b0-49d5-9d71-e66014483790,3d525a6e-325b-484f-9e20-000a797afabc,İstanbul,Başakşehir,Başak,2025-06-06 18:51:51.260
50d91c0f-b5e2-4bee-8ba3-6dbc1e54b48d,0a1fd8c1-6117-469d-8f76-4ceeaa58223a,Ankara,Çankaya,Metin Oktay,2025-06-12 00:46:28.959
118436f1-e4a8-4a52-a2b2-6af79d88d1fe,be0ce579-4621-424f-9c4c-1148df0904c9,İstanbul,Kadıköy,Bostancı,2025-05-27 23:47:26.972
87e233a9-d778-49f5-8b5c-305141d68d6f,47e8a433-7593-41d0-a4bb-e8732568311d,İstanbul,Üsküdar,Selimiye,2025-07-01 10:22:28.871
a35d7538-e83a-400f-8e18-eec01f5f2b3a,abfa79c1-07bb-412b-a9b5-39f64301c5ae,İstanbul,Maltepe,Altayçeşme,2025-07-08 19:16:40.970
da5dbe60-644e-412f-8b9e-b5f690674d6b,ddf20859-d8ca-4c49-942e-6069d0c97504,İstanbul,Maltepe,Altayçeşme,2025-05-20 14:29:19.024
ae00e994-9d1b-414a-b9c2-2ba7dd5ab763,a67d735e-f328-474b-b7cd-1a88f7ec7da4,İstanbul,Sarıyer,Darüşşafaka,2025-05-13 09:48:23.336
8f71c734-cb1e-491d-ad7e-3bb7cd85e79d,2d710705-c323-435f-bb5f-fef1b6c14f6f,İstanbul,Beyoğlu,Hacıahmet,2025-05-08 17:56:02.960
faedfc41-742f-4531-bf7f-cd1815566527,bed2e9f7-1a32-45df-aa0d-4d90c618f03d,İstanbul,Kadıköy,Caddebostan,2025-05-28 17:41:33.403
55f412b1-9c3d-4853-b006-291d7aa29b87,a9b222e5-ed8a-40fb-b1da-16555d2852db,İstanbul,Ümraniye,İstiklal,2025-08-02 16:43:21.626
3bb26686-73e1-48b1-bd48-cad9ca1b66dd,d147031a-ad0f-48bd-a400-c12ea3955d0f,İstanbul,Çekmeköy,Ömerli,2025-07-24 12:52:10.849
b8d1e240-7434-4f24-8246-1726d9b78faf,ababc6e5-4458-4d04-b654-0aa36145695c,İstanbul,Ataşehir,Yenişehir,2025-05-17 11:57:36.091
558e5d97-7a75-4685-995b-56d6cba9d050,dabee78b-ce7f-444b-a1b5-124a2c42009c,İstanbul,Pendik,Harmandere,2025-06-29 12:30:58.215
1de16db8-25f9-41b7-b742-37b5bdfe6a3b,58cda7e8-4ad0-47f1-8b59-827895e880f8,İstanbul,Maltepe,İdealtepe,2025-05-30 10:14:10.592
a589a6cc-e30b-4f8a-9b29-bb9058a35fb4,1185b56e-47d7-4b68-8e4f-4b94b5d0b310,İstanbul,Sarıyer,Maslak,2025-05-31 18:11:03.952
aa93ed5c-8c40-4e52-8a6f-e87e469e7b31,7b15fb83-e39f-4c22-9b1d-99dedb952a8d,Eskişehir,Odunpazarı,Büyükdere,2025-07-07 13:18:22.752
67239509-648c-4e13-8d7d-96bfd55b162d,465e4def-8a5d-4ed9-9574-f66cb1443677,İstanbul,Esenler,Nine Hatun,2025-06-02 13:37:48.491
1511a21c-51b7-424e-8a35-805eee6cb69d,e66f1c2e-64a4-4573-9c62-c5eca3f989ab,İstanbul,Kartal,Yukarı,2025-06-11 02:51:26.761
025c86b8-7001-4510-b649-2bb75bfc2503,c067e2cb-3053-4d01-aa96-4c75d3629bd8,İstanbul,Kadıköy,Sahrayı Cedit,2025-07-10 15:39:17.566
d05c6a5e-5a90-4b22-b6e1-0e787dae7428,6e7b7a37-e75e-4cd2-bc68-0648c1f075d6,İstanbul,Tuzla,Aydınl,2025-05-19 12:56:26.039
2b163379-e6a7-4f90-beeb-f051eb03dfa1,ee146ff2-6a0a-4c55-9d67-74b388c254f4,İstanbul,Üsküdar,Bahçelievler,2025-05-08 21:48:38.563
8598e9d6-533f-4765-a6a2-ecd3a53c41bc,6b38f989-680f-4527-8a56-dac5ce0264b2,Samsun,ilkadım,Pazar,2025-07-12 11:21:32.643
9e9731c2-959b-45b2-8be7-ce21a5165965,acf9d21f-d181-47a3-9050-bb5d01e5306c,İstanbul,Kadıköy,Erenköy,2025-06-19 15:04:37.372
b3ad2140-617a-47a5-a95d-64c27ed46931,ba76ea94-563c-4797-863c-03a1fa92582b,İstanbul,Ataşehir,Esatpasa,2025-07-23 22:49:10.531
510cf52e-c9a3-43c1-9b09-c9a0b3b7142a,3d2e92ad-3a74-4781-9cb4-4f347891b2e6,İstanbul,Başakşehir,Ziya Gökalp,2025-07-25 14:11:06.287
986faa46-0278-411b-927a-c942c7ee56c5,8472ca21-9e38-43cd-9dad-e381cfc7f1f7,İstanbul,Ataşehir,Örnek,2025-07-11 02:22:22.267
